No.,Tweet ID
613,[['1351458475990257664']]
614,[['1451273516557520906']]
615,[['1452572310276296704']]
616,[['1350857568093167616']]
617,[['1351887927568199681']]
618,[['1390669556377608194']]
619,[['1450400372254773249']]
620,[['1350706053810253824']]
621,[['1451611389567684613']]
622,[['1351787835246981121']]
623,[['1350634601195180033']]
624,[['1350151530008125441']]
625,[['1351074107463503875']]
626,[['1390534901116592129']]
627,[['1451699440029421575']]
628,[['1450356795504009218']]
629,[['1352119701678206978']]
630,[['1390041927983288329']]
631,[['1351720449605050370']]
632,[['1451297069851947010']]
633,[['1352357703352512515']]
634,[['1389524467286687746']]
635,[['1390593701894840321']]
636,[['1452327032671584260']]
637,[['1452369917253242884']]
638,[['1451572179057917952']]
639,[['1241361070620639238']]
640,[['1452031207596826630']]
641,[['1350713505557708802']]
642,[['1351576544217624578']]
643,[['1452582891393888260']]
644,[['1351244362877906947']]
645,[['1389564069418504202']]
646,[['1391017396878577664']]
647,[['1452275650723725313']]
648,[['1451507464244015110']]
649,[['1389472178417111049']]
650,[['1452205091642122248']]
651,[['1350741083643400195']]
652,[['1450338686269284359']]
653,[['1390402012588777478']]
654,[['1452195868296232961']]
655,[['1241314887906865152']]
656,[['1350485490559021057']]
657,[['1452229939235893251']]
658,[['1389812590713389057']]
659,[['1451332423829139456']]
660,[['1241058390996070407']]
661,[['1351484554125705216']]
662,[['1451509953538232320']]
663,[['1350522549185236996']]
664,[['1351186327182729217']]
665,[['1350102956406788096']]
666,[['1391081364552830978']]
667,[['1450378808926822400']]
668,[['1351457240457375745']]
669,[['1350473023762128896']]
670,[['1351844249088749574']]
671,[['1349870254214811648']]
672,[['1390745114151165956']]
673,[['1390701934194176003']]
674,[['1451466371842428929']]
675,[['1451132619060617217']]
676,[['1450759209948270597']]
677,[['1451152898923053061']]
678,[['1389906582276870145']]
679,[['1451006193279938561']]
680,[['1390618313340997633']]
681,[['1350015881309548545']]
682,[['1390611225717923843']]
683,[['1350487218394193924']]
684,[['1350833810305404931']]
685,[['1349964097639604224']]
686,[['1451979899930087424']]
687,[['1350906004410675201']]
688,[['1350584261250863106']]
689,[['1450811025557757955']]
690,[['1351097134523822083']]
691,[['1451759003323748354']]
692,[['1351446938894422017']]
693,[['1451986505237504006']]
694,[['1452564844448788483']]
695,[['1389740949908111361']]
696,[['1391797367842693121']]
697,[['1350476047880491008']]
698,[['1351031072952356865']]
699,[['1352239908128223233']]
700,[['1390373296504442888']]
701,[['1350476293679296512']]
702,[['1389980407043592197']]
703,[['1390947128504094722']]
704,[['1451558217595723782']]
705,[['1451822595607863296']]
706,[['1351497525015044096']]
707,[['1390399264673632261']]
708,[['1390244951552835589']]
709,[['1351896539153768450']]
710,[['1350350806768349186']]
711,[['1352193002517778432']]
712,[['1452549874650599429']]
713,[['1452623687539216386']]
714,[['1450410930102317058']]
715,[['1351844249088749574']]
716,[['1242119046084132865']]
717,[['1351762013286920198']]
718,[['1351847927027806208']]
719,[['1450883896355262467']]
720,[['1242841768510488577']]
721,[['1242698989272784898']]
722,[['1351924585076146177']]
723,[['1390090653573468163']]
724,[['1350457873978032131']]
725,[['1350781933463199750']]
726,[['1352208259223080962']]
727,[['1350859062087282689']]
728,[['1350738884439760896']]
729,[['1450729971895394306']]
730,[['1390526441612324875']]
731,[['1450554277181730818']]
732,[['1241099108171108355']]
733,[['1351398869699969027']]
734,[['1389573023980654592']]
735,[['1450372776574038021']]
736,[['1389620858709151746']]
737,[['1352278112210444289']]
738,[['1352230728927473664']]
739,[['1391798831185018885']]
740,[['1351432607154786305']]
741,[['1391608820263235591']]
742,[['1391028278635466757']]
743,[['1351803045106036736']]
744,[['1350767409246957568']]
745,[['1391670032946679811']]
746,[['1452232439296897025']]
747,[['1351562931092164608']]
748,[['1450787473668325378']]
749,[['1350150187751251968']]
750,[['1451771930877599747']]
751,[['1390178262257655809']]
752,[['1450551022074671105']]
753,[['1450829533364490241']]
754,[['1390225999548272640']]
755,[['1390775373772828680']]
756,[['1452217892032892931']]
757,[['1451687948399808530']]
758,[['1350760901205516291']]
759,[['1350136565952094208']]
760,[['1389467325863059462']]
761,[['1450610971211358209']]
762,[['1352280689610252288']]
763,[['1452268055397011458']]
764,[['1242504533458255881']]
765,[['1350320914328649730']]
766,[['1389497034743291906']]
767,[['1451608962277781505']]
768,[['1390681097814618112']]
769,[['1352227570180349955']]
770,[['1351792108093505537']]
771,[['1389463704492720130']]
772,[['1450934770855256066']]
773,[['1451966906139807749']]
774,[['1240925179720675330']]
775,[['1352272199282008066']]
776,[['1390327745616306177']]
777,[['1350154588356304896']]
778,[['1451606519359983616']]
779,[['1450800717342539782']]
780,[['1350516126657236995']]
781,[['1450770037535559680']]
782,[['1450888818031271936']]
783,[['1351197040127180802']]
784,[['1350517593745072136']]
785,[['1391045233299771399']]
786,[['1351920542937473027']]
787,[['1451176419543818247']]
788,[['1352205730946945024']]
789,[['1351837155895746561']]
790,[['1390016554549514246']]
